data,produto,categoria,regiao,vendedor,vendas,quantidade,custo,lucro
2025-05-10,teclado,eletrônicos,sul,David,5506,25,3021.9896475290143,2484.0103524709857
2025-12-31,mouse,eletrônicos,norte,carlos,2007,1,3635.380842934898,-1628.3808429348978
2025-11-10,notebook,periféricos,leste,diana,919,27,4334.381027103908,-3415.3810271039083
2023-05-02,ssd,eletrônicos,norte,David,1572,13,1692.0013380558944,-120.0013380558944
2024-04-11,monitor,eletrônicos,norte,diana,8748,4,1313.552853094996,7434.447146905004
2023-11-27,mouse,periféricos,sul,David,3122,22,7052.941470758949,-3930.9414707589494
2023-03-29,ssd,eletrônicos,norte,elena,2022,26,3515.0917264248546,-1493.0917264248546
2025-05-21,ssd,eletrônicos,oeste,Charlie,5749,24,3343.7813882897103,2405.2186117102897
2023-05-11,headset,periféricos,sul,carlos,11036,14,362.04823016090455,10673.951769839096
2025-02-08,mouse,periféricos,oeste,Bob,2419,3,4023.9723164921543,-1604.9723164921543
2023-12-10,monitor,periféricos,norte,diana,5425,5,4469.024195159121,955.9758048408794
2025-03-16,mouse,eletrônicos,oeste,Bob,4899,7,4506.019697960959,392.9803020390409
2024-01-21,ssd,periféricos,leste,carlos,6721,1,5679.686861037244,1041.313138962756
2025-08-13,monitor,periféricos,norte,paulo,9523,23,1485.6561331288133,8037.343866871187
2023-10-04,notebook,eletrônicos,leste,Bob,5222,29,2077.607223106501,3144.392776893499
2024-04-04,headset,eletrônicos,oeste,carlos,9781,12,6500.985284624869,3280.0147153751313
2023-01-22,ssd,eletrônicos,leste,elena,11395,11,7581.591285399681,3813.4087146003194
2023-09-10,teclado,eletrônicos,norte,Bob,5613,24,1156.5873591491795,4456.41264085082
2025-01-17,teclado,eletrônicos,leste,diana,11675,8,4021.3844716813283,7653.615528318672
2025-05-06,headset,periféricos,oeste,Charlie,7600,25,1776.2759216975278,5823.724078302472
2024-04-19,notebook,periféricos,oeste,Bob,11239,6,555.779493371461,10683.220506628539
2025-12-18,ssd,periféricos,oeste,diana,11245,28,2657.9864379589926,8587.013562041007
2024-05-25,mouse,eletrônicos,norte,David,8570,22,1218.005991458965,7351.994008541035
2024-11-30,headset,eletrônicos,oeste,carlos,4109,2,5702.669941599231,-1593.6699415992307
2025-09-02,notebook,eletrônicos,norte,Alice,10235,19,4307.10527627784,5927.89472372216
2023-07-09,mouse,periféricos,leste,paulo,1463,20,1219.1690102432622,243.83098975673784
2025-08-15,teclado,periféricos,oeste,elena,7997,20,153.1933801716738,7843.806619828326
2024-11-17,teclado,eletrônicos,leste,Alice,1220,24,6480.6038282717645,-5260.6038282717645
2025-08-15,mouse,periféricos,sul,elena,9316,14,1475.4596968208405,7840.540303179159
2024-07-16,headset,eletrônicos,leste,carlos,10080,1,4881.235806388467,5198.764193611533
2025-04-11,teclado,periféricos,sul,elena,3435,10,2748.4215515678247,686.5784484321753
2024-10-08,ssd,periféricos,leste,Charlie,9099,16,4717.048631455082,4381.951368544918
2023-01-21,monitor,periféricos,norte,Bob,3245,4,2579.976725700006,665.0232742999938
2025-04-20,mouse,eletrônicos,leste,Charlie,470,27,768.561320682653,-298.561320682653
2023-06-16,mouse,periféricos,norte,Alice,2471,28,1845.7640677774084,625.2359322225916
2024-01-23,teclado,periféricos,norte,paulo,705,29,1569.4238465142787,-864.4238465142787
2024-08-23,headset,eletrônicos,oeste,diana,5089,11,3469.913271321979,1619.0867286780208
2023-11-12,ssd,periféricos,norte,paulo,5582,16,5293.607564735166,288.3924352648337
2023-01-14,headset,eletrônicos,sul,carlos,1536,27,2169.344113575152,-633.3441135751518
2023-08-30,notebook,eletrônicos,oeste,carlos,4913,20,175.59388758089418,4737.406112419106
2025-02-15,notebook,eletrônicos,oeste,Charlie,11389,1,4189.983924976875,7199.016075023125
2024-07-18,monitor,eletrônicos,leste,diana,10769,16,4877.615155723059,5891.384844276941
2025-06-16,teclado,eletrônicos,norte,Charlie,7004,19,7705.9343124943325,-701.9343124943325
2023-04-02,teclado,periféricos,norte,Bob,10346,21,4748.608760498515,5597.391239501485
2025-08-13,teclado,eletrônicos,sul,David,10272,22,3811.6866702748835,6460.313329725117
2024-05-23,monitor,eletrônicos,leste,diana,7787,9,4621.340877109815,3165.6591228901852
2025-02-14,notebook,eletrônicos,leste,David,4991,9,7428.972988507254,-2437.972988507254
2023-02-04,headset,eletrônicos,oeste,paulo,10505,9,6640.7549131650385,3864.2450868349615
2023-07-25,monitor,periféricos,oeste,Bob,4017,27,2637.9915682413593,1379.0084317586407
2025-10-22,monitor,eletrônicos,oeste,elena,10768,17,1959.0545601645272,8808.945439835472
2025-10-18,headset,periféricos,sul,elena,3943,12,2160.058209939303,1782.9417900606968
2024-07-19,teclado,eletrônicos,sul,David,7523,25,4075.0146345444873,3447.9853654555127
2024-12-03,ssd,periféricos,oeste,Alice,2663,13,5972.871653730336,-3309.871653730336
2024-02-06,headset,eletrônicos,leste,paulo,3953,8,4065.49612088906,-112.49612088905997
2024-12-30,notebook,eletrônicos,sul,David,2477,16,616.9474549586517,1860.0525450413484
2023-06-11,mouse,periféricos,leste,Bob,8959,18,5810.759147484649,3148.2408525153514
2023-07-21,mouse,eletrônicos,leste,David,2315,29,6463.283419073955,-4148.283419073955
2025-09-22,monitor,periféricos,norte,carlos,3458,27,2372.8230917481796,1085.1769082518204
2023-09-27,mouse,eletrônicos,oeste,Charlie,6602,1,5339.875855124135,1262.1241448758647
2025-03-26,ssd,periféricos,norte,Alice,8217,1,3458.6078563507954,4758.392143649205
2024-03-31,teclado,eletrônicos,oeste,carlos,7792,12,7121.825297361347,670.1747026386529
2025-10-13,notebook,eletrônicos,oeste,carlos,6554,6,6774.186420633059,-220.18642063305924
2023-10-23,ssd,periféricos,leste,Bob,1142,9,4241.421426612367,-3099.421426612367
2024-12-20,notebook,eletrônicos,oeste,Charlie,5574,23,5556.723922843668,17.276077156331667
2023-12-04,notebook,eletrônicos,leste,Charlie,9719,5,7076.129632095063,2642.8703679049368
2025-05-28,teclado,eletrônicos,leste,diana,4531,27,4006.078719819942,524.9212801800581
2025-12-12,monitor,eletrônicos,oeste,paulo,3324,16,2560.9458646714697,763.0541353285303
2025-03-02,mouse,eletrônicos,leste,Alice,4932,18,6049.035812243884,-1117.0358122438838
2023-08-05,teclado,eletrônicos,leste,paulo,9647,17,1822.924737894759,7824.075262105242
2025-02-02,ssd,periféricos,leste,Bob,5710,18,3157.166692207853,2552.833307792147
2023-07-07,monitor,periféricos,sul,Alice,7610,1,6936.559717885806,673.4402821141939
2024-01-15,ssd,periféricos,leste,diana,3228,19,5817.424934932976,-2589.4249349329757
2024-05-07,monitor,eletrônicos,sul,David,11028,22,3278.183161560194,7749.816838439806
2025-11-30,ssd,periféricos,sul,carlos,3133,29,1780.7764590741906,1352.2235409258094
2023-01-15,teclado,eletrônicos,leste,Alice,7409,8,2899.2696553913133,4509.730344608686
2023-03-06,monitor,eletrônicos,leste,paulo,6204,3,2330.1048618812692,3873.8951381187308
2024-06-04,monitor,eletrônicos,sul,carlos,2673,26,1474.627160515323,1198.372839484677
2024-10-09,notebook,eletrônicos,sul,Bob,11924,25,5967.196675440001,5956.803324559999
2025-12-22,notebook,periféricos,leste,paulo,9827,26,2076.393503853358,7750.606496146642
2024-08-15,headset,eletrônicos,leste,David,10442,5,3677.0063637286894,6764.993636271311
2024-01-27,ssd,periféricos,oeste,Bob,4731,23,3136.006818941984,1594.993181058016
2024-02-23,notebook,eletrônicos,sul,elena,5759,8,7858.052838794196,-2099.052838794196
2023-10-16,headset,periféricos,sul,David,2151,19,3177.4505736539068,-1026.4505736539068
2024-01-14,notebook,periféricos,oeste,David,1537,18,713.461263750298,823.538736249702
2023-08-19,ssd,periféricos,sul,carlos,11525,18,791.4199603709055,10733.580039629094
2025-10-14,monitor,periféricos,norte,Bob,6702,21,4758.769473116274,1943.2305268837263
2023-02-10,mouse,periféricos,sul,Bob,1180,1,4826.9593297670635,-3646.9593297670635
2025-11-17,ssd,periféricos,oeste,Alice,10107,15,3396.571204622627,6710.428795377373
2023-05-15,teclado,eletrônicos,norte,paulo,1370,18,3500.202043111275,-2130.202043111275
2023-07-20,notebook,periféricos,leste,elena,10756,29,507.1460560997,10248.8539439003
2025-02-18,notebook,eletrônicos,oeste,Bob,6185,25,4171.048362282957,2013.951637717043
2025-07-18,monitor,periféricos,oeste,Alice,9960,7,4077.536645012385,5882.463354987614
2025-11-22,teclado,eletrônicos,leste,elena,9605,16,1264.4306029710008,8340.569397029
